date,temperature,humidite,pression,vent,precipitations,mois,annee,saison
2020-01-01,23.2,23.9,1014.3,29.6,0.0,1,2020,Saison sèche
2020-01-02,21.4,23.1,1016.2,25.8,0.0,1,2020,Saison sèche
2020-01-03,20.8,29.3,1012.1,19.7,0.0,1,2020,Saison sèche
2020-01-04,22.6,10.0,1009.6,19.2,0.0,1,2020,Saison sèche
2020-01-05,19.5,27.5,1011.2,14.9,0.0,1,2020,Saison sèche
2020-01-06,25.7,23.2,1013.1,14.9,0.0,1,2020,Saison sèche
2020-01-07,20.6,25.9,1010.7,23.9,0.0,1,2020,Saison sèche
2020-01-08,20.5,22.7,1011.8,31.3,0.0,1,2020,Saison sèche
2020-01-09,22.0,16.5,1014.6,15.9,0.0,1,2020,Saison sèche
2020-01-10,22.5,10.0,1010.3,23.0,0.0,1,2020,Saison sèche
2020-01-11,23.8,26.4,1012.8,20.5,0.0,1,2020,Saison sèche
2020-01-12,18.3,19.2,1012.1,27.3,0.0,1,2020,Saison sèche
2020-01-13,22.9,10.9,1013.6,20.1,0.0,1,2020,Saison sèche
2020-01-14,20.3,29.9,1015.1,26.7,0.0,1,2020,Saison sèche
2020-01-15,19.9,22.5,1013.7,26.9,0.0,1,2020,Saison sèche
2020-01-16,20.8,23.5,1010.8,16.0,0.0,1,2020,Saison sèche
2020-01-17,24.0,35.8,1012.9,27.0,0.0,1,2020,Saison sèche
2020-01-18,22.9,19.8,1013.7,29.7,0.0,1,2020,Saison sèche
2020-01-19,21.9,37.5,1007.8,26.1,0.0,1,2020,Saison sèche
2020-01-20,22.2,22.6,1013.2,12.1,0.0,1,2020,Saison sèche
2020-01-21,21.5,27.9,1016.0,19.4,0.0,1,2020,Saison sèche
2020-01-22,20.0,21.0,1014.8,23.6,0.0,1,2020,Saison sèche
2020-01-23,20.7,29.1,1013.2,26.8,0.0,1,2020,Saison sèche
2020-01-24,20.2,22.4,1012.2,14.7,0.0,1,2020,Saison sèche
2020-01-25,22.7,27.1,1013.0,20.8,0.0,1,2020,Saison sèche
2020-01-26,18.5,21.6,1012.3,18.0,0.0,1,2020,Saison sèche
2020-01-27,21.6,28.2,1016.8,22.9,0.0,1,2020,Saison sèche
2020-01-28,22.6,24.4,1009.2,21.9,0.0,1,2020,Saison sèche
